title,degree,school,location,price,duration,selected
Business Analytics,Full-time,MIT Sloan School of Management,"Cambridge, Massachusetts, United States","43,690 EUR / year",1 year,
Data Science,M.Sc.,DePaul University,"Chicago, Illinois, United States",707 EUR / credit,2 years,
Data Science,M.Sc.,Rochester Institute of Technology,"Rochester, New York, United States","42,580 EUR / year",2 years,
"Applied Statistics, Data Science Specialization",Full-time,Colorado State University,"Fort Collins, Colorado, United States","1,171 EUR / credit",1 year,
Statistical Data Science,M.Sc.,San Francisco State University,"San Francisco, California, United States","7,254 EUR / year",1 year,
Data Science,M.Sc.,University of Minnesota,"Minneapolis, Minnesota, United States","23,168 EUR / year",2 years,
Data Science,Full-time,Lipscomb University,"Memphis, Florida, United States","1,053 EUR / credit",1 year,
Data Science,Full-time,Harvard University,"Cambridge, Massachusetts, United States","28,609 EUR / year",1 year,
Biomedical Data Analytics,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",2 years,
Environmental Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",2 years,
Applied Data Science,M.Sc.,Indiana University - Purdue University Indianapolis,"Indianapolis, Indiana, United States",847 EUR / credit,1 year,
Data Analytics,M.Sc.,University of Houston Downtown,"Houston, Texas, United States","7,440 EUR / year",1 year,
Data Analytics and Visualization,M.Sc.,Pratt Institute,"New York City, New York, United States","22,850 EUR / year",1 year,
Computer Science - Big Data Systems,M.Sc.,Arizona State University,"Tempe Junction, Arizona, United States","20,599 EUR / year",1 year,
Data Science,M.Sc.,Tufts University,"Medford, Massachusetts, United States","44,300 EUR / year",1 year,
Data Science,M.Sc.,George Washington University,"Washington, D. C., Washington, D.C., United States","1,492 EUR / credit",1 year,
Data Analytics and Business Computing,M.Sc.,New York University,Multiple locations,"49,378 EUR / year",1 year,
Data Science and Analytics with Emphasis in Human Centered Science Design,M.Sc.,University of Missouri - Columbia,"Columbia, Missouri, United States","19,873 EUR / year",1 year,
Computational Data Science,M.Sc.,Temple University,"Philadelphia, Pennsylvania, United States","1,238 EUR / credit",1 year,
Data Science and Analytics with Emphasis in High Performance Computing,M.Sc.,University of Missouri - Columbia,"Columbia, Missouri, United States","19,873 EUR / year",1 year,
Applied Machine Intelligence,Full-time,Northeastern University,"Boston, Massachusetts, United States","16,593 EUR / year",2 years,
Data Intelligence and GeoAnalytics,M.Sc.,Saint Mary's University of Minnesota,"Winona, Mississippi, United States",531 EUR / credit,2 years,
Applied Computer Science (with a concentration in Artificial Intelligence andMachine Learning),M.Sc.,Wentworth Institute of Technology,"Boston, Massachusetts, United States",928 EUR / credit,1 year,
Business Intelligence and Analytics,M.Sc.,Stevens Institute of Technology,"Hoboken, New Jersey, United States","31,777 EUR / year",2 years,
