title,url,school,degree,pace,duration,languages,based,price
"MSc in Criminal Justice, Criminal Behavior Concentration",https://www.onlinestudies.com/MSc-in-Criminal-Justice-Criminal-Behavior-Concentration/USA/TiffinU/,Tiffin University,MSc,Part-time,3Semesters,,Online,
"MSc in Criminal Justice, Crime Analysis Concentration",https://www.onlinestudies.com/MSc-in-Criminal-Justice-Crime-Analysis-Concentration/USA/TiffinU/,Tiffin University,MSc,Part-time,3Years,,Online,
Master of Humanities,https://www.onlinestudies.com/Master-of-Humanities/USA/TiffinU/,Tiffin University,Master,Part-time,,,Online,
"Master of Humanities, Art & Visual Media Concentration",https://www.masterstudies.com/Master-of-Humanities-Art-and-Visual-Media-Concentration/USA/TiffinU/,Tiffin University,Master,Part-time,,,Online,
"Master of Humanities, Communication Concentration",https://www.onlinestudies.com/Master-of-Humanities-Communication-Concentration/USA/TiffinU/,Tiffin University,Master,Part-time,,,Online,
"Master of Humanities, English Concentration",https://www.onlinestudies.com/Master-of-Humanities-English-Concentration/USA/TiffinU/,Tiffin University,Master,Part-time,,,Online,
MSc in Information Systems Management,https://www.masterstudies.com/MSc-in-Information-Systems-Management/USA/Holy-Family-University/,Holy Family University,MSc,Full-time,6Semesters,,Campus,
MSc in Human Resources Management,https://www.masterstudies.com/MSc-in-Human-Resources-Management/USA/Holy-Family-University/,Holy Family University,MSc,Full-time,6Semesters,,Campus,
Seminar for Senior Executives in the Oil and Gas Industry,https://www.masterstudies.com/Seminar-for-Senior-Executives-in-the-Oil-and-Gas-Industry/USA/CoxBusiness/,"Cox School of Business, Southern Methodist University",Master,Part-time,2Weeks,,Campus,
M.S. in Financial Analysis and Investment Management,https://www.masterstudies.com/M.S.-in-Financial-Analysis-and-Investment-Management/USA/Saint-Marys-College-of-California-School-of-Economics-and-Business-Administration/,Saint Mary's College of California School of Economics and Business Administration,MSc,Part-time,15Months,,Campus,
Master of Science in Accountancy,https://www.masterstudies.com/Master-of-Science-in-Accountancy/USA/Boise-State-University-College-of-Business-and-Economics/,Boise State University College of Business & Economics,MSc,Full-time,,,Campus,
Master of Science in Accountancy - Taxation Emphasis,https://www.masterstudies.com/Master-of-Science-in-Accountancy-Taxation-Emphasis/USA/Boise-State-University-College-of-Business-and-Economics/,Boise State University College of Business & Economics,MSc,Full-time,,,Campus,
M.S. in Human Relations and Business,https://www.masterstudies.com/M.S.-in-Human-Relations-and-Business/USA/Amberton-University/,Amberton University,MSc,Full-time,,,Online & Campus Combined,
M.S. in Human Resource Training and Development,https://www.masterstudies.com/M.S.-in-Human-Resource-Training-and-Development/USA/Amberton-University/,Amberton University,MSc,Full-time,,,Campus,
Master of Public Administration,https://www.masterstudies.com/Master-of-Public-Administration/USA/Andrew-Jackson-University/,Andrew Jackson University,Master,Full-time                                                     Part-time,,,Online & Campus Combined,
Master of Arts in labor and policy,https://www.masterstudies.com/Master-of-Arts-in-labor-and-policy/USA/Empire-State-College-State-University-of-New-York/,"Empire State College, State University of New York",MA,Part-time,15Months,,Online & Campus Combined,
Master of Arts in Social Policy,https://www.masterstudies.com/Master-of-Arts-in-Social-Policy/USA/Empire-State-College-State-University-of-New-York/,"Empire State College, State University of New York",MA,Part-time,2Years,,Online & Campus Combined,
Master of Science in Accounting and Taxation,https://www.masterstudies.com/Master-of-Science-in-Accounting-and-Taxation/USA/Florida-Gulf-Coast-University-Lutgert-College-of-Business/,Florida Gulf Coast University Lutgert College of Business,MSc,Full-time,,English,Campus,
Master of Science in Computer Information Systems,https://www.masterstudies.com/Master-of-Science-in-Computer-Information-Systems/USA/Florida-Gulf-Coast-University-Lutgert-College-of-Business/,Florida Gulf Coast University Lutgert College of Business,MSc,Full-time,,,Campus,
Master of Science with a major in Management (MSM),https://www.masterstudies.com/Master-of-Science-with-a-major-in-Management-(MSM)/USA/Indiana-Wesleyan-University-College-of-Adult-and-Professional-Studies/,Indiana Wesleyan University College of Adult and Professional Studies,MSc,Full-time                                                     Part-time,1Years,,Campus Online,
Master of Science in Management Online,https://www.onlinestudies.com/Master-of-Science-in-Management-Online/USA/Indiana-Wesleyan-University-College-of-Adult-and-Professional-Studies/,Indiana Wesleyan University College of Adult and Professional Studies,MSc,Full-time,18Months,,Online,
Master of Education Degree Program,https://www.masterstudies.com/Master-of-Education-Degree-Program/USA/Indiana-Wesleyan-University-College-of-Adult-and-Professional-Studies/,Indiana Wesleyan University College of Adult and Professional Studies,Master,Full-time,,,Campus,
Master of Education (M.Ed.) Online,https://www.masterstudies.com/Master-of-Education-(M.Ed.)-Online/USA/Indiana-Wesleyan-University-College-of-Adult-and-Professional-Studies/,Indiana Wesleyan University College of Adult and Professional Studies,Master,Full-time,,,Online,
Master of Health Administration,https://www.masterstudies.com/Master-of-Health-Administration/USA/Seidman-College-of-Business-Grand-Valley-State-University/,"Seidman College of Business, Grand Valley State University",Master,Full-time,,,Campus,
Master of Arts and Cultural Management (MACM),https://www.masterstudies.com/Master-of-Arts-and-Cultural-Management-(MACM)/USA/Peter-F.-Drucker-and-Masatoshi-Ito-Graduate-School-of-Management-Claremont-Graduate-University/,"Peter F. Drucker and Masatoshi Ito Graduate School of Management, Claremont Graduate University",MA,Full-time                                                     Part-time,,,Campus,
Master of Arts in Public Policy,https://www.masterstudies.com/Master-of-Arts-in-Public-Policy/USA/Peter-F.-Drucker-and-Masatoshi-Ito-Graduate-School-of-Management-Claremont-Graduate-University/,"Peter F. Drucker and Masatoshi Ito Graduate School of Management, Claremont Graduate University",MA,Full-time                                                     Part-time,,,Campus,
M.A. in Professional Development,https://www.masterstudies.com/M.A.-in-Professional-Development/USA/Amberton-University/,Amberton University,MA,Full-time,,,Campus,
MS in Human Resource Management and Development,https://www.masterstudies.com/MS-in-Human-Resource-Management-and-Development/USA/National-Louis-University-College-of-Management-and-Business/,"National-Louis University, College of Management & Business",MSc,Full-time,,,Campus,
MS in Management,https://www.masterstudies.com/MS-in-Management/USA/National-Louis-University-College-of-Management-and-Business/,"National-Louis University, College of Management & Business",MSc,Full-time,18Months,,Campus Online,
Master of Arts in Organizational Leadership - MOL,https://www.onlinestudies.com/Master-of-Arts-in-Organizational-Leadership-MOL/USA/Regent-University-School-of-Global-Leadership-and-Entrepreneurship/,Regent University School of Global Leadership & Entrepreneurship,MA,Full-time                                                     Part-time,12Months,,Online,
Master of Arts in Strategic Foresight,https://www.onlinestudies.com/Master-of-Arts-in-Strategic-Foresight/USA/Regent-University-School-of-Global-Leadership-and-Entrepreneurship/,Regent University School of Global Leadership & Entrepreneurship,MA,Full-time                                                     Part-time,18Months,,Online,
